attacker_steamid,player_name,kills,deaths,headshot_kills,total_damage,avg_kill_distance,kd_ratio,headshot_pct,matches_played,total_kills,total_deaths,overall_kd,kills_per_match,deaths_per_match,damage_per_match,ak47_usage_pct,awp_usage_pct,m4a1_silencer_usage_pct,deagle_usage_pct,glock_usage_pct,kd_ratio_std,kd_ratio_min,kd_ratio_max,headshot_pct_std,kills_std
76561198800147622,AquaRS,37,38,22,2718,14.161058,0.9782608695652174,59.55,2,37,38,0.9736842105263158,18.5,19.0,1359.0,24.324324324324326,0.0,35.13513513513514,2.7027027027027026,5.405405405405405,0.03,0.96,1.0,0.64,4.95
76561198803032451,myltsi,22,22,11,1587,21.086168,1.0,50.0,1,22,22,1.0,22.0,22.0,1587.0,36.36363636363637,9.090909090909092,45.45454545454545,0.0,0.0,0.0,1.0,1.0,0.0,0.0
76561198829326089,BENZENE,12,15,11,1191,8.85061,0.8,91.7,1,12,15,0.8,12.0,15.0,1191.0,50.0,0.0,8.333333333333332,0.0,0.0,0.0,0.8,0.8,0.0,0.0
76561198837117408,1eeR,10,18,6,610,18.304821,0.5555555555555556,60.0,1,10,18,0.5555555555555556,10.0,18.0,610.0,0.0,0.0,50.0,0.0,10.0,0.0,0.56,0.56,0.0,0.0
76561198839305865,Xant3r,13,11,4,825,14.87036,1.181818181818182,30.8,1,13,11,1.1818181818181819,13.0,11.0,825.0,38.46153846153847,7.6923076923076925,23.076923076923077,0.0,0.0,0.0,1.18,1.18,0.0,0.0
76561198845426189,alpha--,16,13,5,1023,17.41295,1.2307692307692308,31.2,1,16,13,1.2307692307692308,16.0,13.0,1023.0,25.0,6.25,25.0,6.25,6.25,0.0,1.23,1.23,0.0,0.0
76561198855375325,Jimpphat,13,11,8,1054,16.9487885,1.5,56.8,2,13,11,1.1818181818181819,6.5,5.5,527.0,30.76923076923077,0.0,38.46153846153847,0.0,0.0,0.71,1.0,2.0,9.62,6.36
76561198889240025,riskyb0b,11,14,7,788,21.293213,0.7857142857142857,63.6,1,11,14,0.7857142857142857,11.0,14.0,788.0,18.181818181818183,0.0,27.27272727272727,0.0,9.090909090909092,0.0,0.79,0.79,0.0,0.0
76561198922682627,⑳ ✓ lukiz,39,44,32,6399,24.957071499999998,0.8863636363636362,81.4,2,39,44,0.8863636363636364,19.5,22.0,3199.5,33.33333333333333,14.583333333333334,12.5,27.083333333333332,0.0,0.61,0.45,1.32,1.98,13.44
76561198951467648,-khaN,22,13,9,1908,20.46319,1.6923076923076923,40.9,1,22,13,1.6923076923076923,22.0,13.0,1908.0,18.181818181818183,31.818181818181817,18.181818181818183,0.0,0.0,0.0,1.69,1.69,0.0,0.0
