player_name,cluster,role,num_matches,kd_ratio,kills_per_round,opening_kill_rate,multi_kill_rate
xertioN,0,Entry Fragger,2,3.8,1.0583333333333333,0.13333333333333333,0.31666666666666665
yuramyata,1,Balanced Player,1,0.5555555555555556,0.43478260869565216,0.08695652173913043,0.043478260869565216
z1Nny,1,Balanced Player,1,0.9285714285714286,0.5416666666666666,0.08333333333333333,0.08333333333333333
⑲ PKL,1,Balanced Player,1,0.42857142857142855,0.45,0.0,0.05
⑲ ✓ PKL,0,Entry Fragger,1,1.2173913043478262,1.3333333333333333,0.14285714285714285,0.2857142857142857
⑳ Ceruttera,1,Balanced Player,1,0.6666666666666666,0.7,0.1,0.25
⑳ coldzeraa,1,Balanced Player,1,1.3,0.65,0.0,0.1
⑳ detr0ittJ,0,Entry Fragger,1,4.5,4.05,0.15,0.35
⑳ hardzao,0,Entry Fragger,1,4.4,4.4,0.05,0.2
⑳ ksloks,1,Balanced Player,1,0.6666666666666666,1.3,0.15,0.25
⑳ lukiz,1,Balanced Player,1,0.5,0.55,0.05,0.05
⑳ naitte,1,Balanced Player,1,0.367816091954023,1.6,0.3,0.25
⑳ woody,0,Entry Fragger,1,1.0666666666666667,0.8,0.15,0.2
⑳ xureba,1,Balanced Player,1,1.2380952380952381,1.3,0.05,0.15
⑳ ✓ detr0ittJ,0,Entry Fragger,1,2.090909090909091,2.1904761904761907,0.14285714285714285,0.2857142857142857
⑳ ✓ lukiz,0,Entry Fragger,1,1.6818181818181819,1.7619047619047619,0.2857142857142857,0.23809523809523808
⑳ ✓ xureba,1,Balanced Player,1,0.8636363636363636,0.9047619047619048,0.09523809523809523,0.09523809523809523
⑳ ✓ ★ Ceruttera,1,Balanced Player,1,0.7,1.0,0.09523809523809523,0.14285714285714285
⑳ ⦻ ksloks,0,Entry Fragger,1,0.7,1.3333333333333333,0.047619047619047616,0.14285714285714285
⑳ ⦻ naitte,1,Balanced Player,1,0.6585365853658537,1.2857142857142858,0.14285714285714285,0.23809523809523808
⑳ ⦻ ★ woody,0,Entry Fragger,1,0.875,1.0,0.047619047619047616,0.09523809523809523
⑳ 🜲 hardzao,0,Entry Fragger,1,2.12,2.5238095238095237,0.047619047619047616,0.23809523809523808
⑳ 🜲 ★ coldzeraa,1,Balanced Player,1,0.9,0.8571428571428571,0.0,0.19047619047619047
